Wall time,Step,Value
1610302552.7774067,1,3.331969976425171
1610304979.617541,2,2.8933773040771484
1610307326.7781587,3,2.7943406105041504
1610309706.8820682,4,2.7453315258026123
1610312114.2562077,5,2.7167863845825195
1610314446.227489,6,2.6982762813568115
1610316789.5016096,7,2.6859347820281982
1610319215.9702928,8,2.678616523742676
1610321603.5709476,9,2.6718485355377197
1610324005.4232948,10,2.670827627182007
1610326484.156554,11,2.668916940689087
1610328944.2061467,12,2.6654417514801025
1610331352.5241024,13,2.6645278930664062
1610333745.1441677,14,2.662871837615967
1610336149.6422932,15,2.6627557277679443
1610338552.2508397,16,2.6622045040130615
1610340962.4736543,17,2.662147045135498
