Wall time,Step,Value
1610013101.764989,1,3.279691219329834
1610016739.6270125,2,2.837381601333618
1610020378.5590806,3,2.7365262508392334
1610024019.4993088,4,2.685502529144287
1610027725.7668,5,2.655113697052002
1610031398.3066297,6,2.638615608215332
1610097854.6968527,7,2.624687671661377
1610101556.4713354,8,2.6148276329040527
1610105206.6130424,9,2.6073222160339355
1610108871.2139874,10,2.5996243953704834
1610121410.7690492,11,2.5962624549865723
1610125108.0986648,12,2.593240976333618
1610128840.8242128,13,2.5925159454345703
1610179910.451552,14,2.584603786468506
1610183570.8591797,15,2.5839474201202393
